,latitude,longitude,calldescription
1442140,42.415751614078296,-83.2100333489653,WNTD WRRNT MISDEMEANOR
2246556,42.4293972912291,-83.246447222408,AUTO X OR PED X - INJURIES
1909919,42.3278483846772,-83.0823156439872,HANGUP CALLS
2249518,42.331138776501,-83.12441786863249,INFORMATION/NON-CRIMINAL RPT
1835012,42.4437040324193,-83.2004691154509,TRAFFIC STOP
2293520,42.4194731518189,-82.94073771182299,DISTURBANCE
1476355,42.379936725369795,-83.2611284192502,AUTO X HIT& RUN UNK INJURIES
2222389,42.3542118778883,-83.07200569819351,ALARM UNKNOWN CAUSE
496935,42.447377477501604,-82.9561565337075,SHOTS FIRED IP
579356,42.356740422058,-83.06148267391521,SPECIAL ATTENTION
698102,42.3700089440691,-82.95890968066979,ASSAULT AND BATTERY
2251075,42.334562438717604,-83.0402826454061,TRAFFIC STOP
623412,42.38929580318371,-82.97603344461871,ROBBERY ARMED IP-ANY
89800,42.419015691189706,-82.915039661767,ASSAULT AND BATTERY
2146751,42.2995461516484,-83.1297211579314,VICIOUS ANIMAL
1877345,42.328896414607,-83.1335603374281,THREATS REPORT
2445596,42.3390227213527,-83.13198439879079,TRAFFIC STOP
1244046,42.35688069276971,-82.98708004660921,VERIFIED ALR / PERSON W/O CODE
728967,42.358928058606,-83.0812800366219,ASSAULT AND BATTERY REPORT
2390853,42.4020878739107,-83.1791335923357,ASSAULT AND BATTERY IP-JH
972053,42.3579551522497,-83.0730436495612,SAFEWALK
2248480,42.343626688793,-83.0622573839518,SPECIAL ATTENTION
302491,42.381827443205104,-83.11787747059171,ARSON REPORT
837674,42.3416361913425,-83.06375589030401,NARCOTICS I/P
1028426,42.3003668801043,-83.1115602131719,SPECIAL ATTENTION
192742,42.371530802775,-83.0195386059818,TRAFFIC STOP
1659964,42.340716656982295,-83.0534112691987,TRAFFIC STOP
1346519,42.369528598174604,-83.2411601619386,WNTD WRRNT FELONY
2051552,42.3554734732794,-82.9961280637202,HANGUP CALLS
310807,42.3003668801043,-83.1115602131719,SPECIAL ATTENTION
709290,42.3418615472199,-83.07234617418591,SPECIAL ATTENTION
2409773,42.3702698957592,-83.02111230821791,TRAFFIC STOP
926022,42.378830979632795,-83.0146926053276,TRAFFIC STOP
1934680,42.3945178108612,-83.18963277511259,ASSAULT AND BATTERY IP-JH
791019,42.3724240041722,-83.20839593083629,TRAFFIC STOP
634645,42.34841108778829,-83.05597635603641,SPECIAL ATTENTION
568647,42.3313550329298,-83.0764787617285,MISCELLANEOUS TRAFFIC
849734,42.36192785688179,-83.02587741433929,UDAA I/P
571256,42.4472513630909,-82.9635522756555,UDAA REPORT
1884177,42.386061700129204,-83.24771669463419,DISTURBANCE
1891827,42.4275315028588,-82.99126248148809,TRAFFIC STOP
296661,42.4291784064921,-83.26786194313,TRAFFIC STOP
436117,42.4025234121844,-83.1596927763561,SPECIAL ATTENTION
20555,42.400110304505404,-83.2701056445755,DISTURBANCE
771839,42.357845663688,-83.21691224846501,SPECIAL ATTENTION
1356693,42.3551958959761,-83.06887329574941,SPECIAL ATTENTION
2018375,42.3545478909557,-82.98072010146771,TRAFFIC STOP
2373622,42.3725188148174,-83.2011732470074,TRAFFIC STOP
628677,42.388068848550795,-83.2646891723382,LARCENY REPORT
2425828,42.4304302852813,-83.1998782143603,BUS BOARDING
485830,42.3352464525427,-83.02065144593809,SPECIAL ATTENTION
1913527,42.42416658410129,-83.1617964588565,ASSAULT AND BATTERY IP-JH
782473,42.365023727152206,-83.2190804190566,SPECIAL ATTENTION
2252492,42.3766861581298,-83.1586920409219,HANGUP CALLS
2333618,42.3377166749784,-83.10142223064992,AUTO X OR PED X - INJURIES
44457,42.323994694347896,-83.0985000260048,DISTURBANCE
304267,42.41526459641371,-83.2339085694687,INVESTIGATE PERSON
448256,42.361766580186206,-83.00589036242509,RUBBISH LITTERING I/P
477164,42.3429961642379,-83.141972882662,DISTURBANCE
1416928,42.4149181027473,-83.06349840454641,PERSON WITH WEAPON
2275915,42.446735156277,-83.09122508847209,LARCENY I/P OR J/H
521839,42.4320242899445,-83.0316099497845,LARCENY REPORT
1341847,42.3497178725548,-83.05241185183341,WELL BEING CHECK
2413322,42.345417696850795,-83.05656110054409,HANGUP CALLS
1165884,42.3615376899103,-83.0523155547305,RECOVERED / FOUND PROPERTY
2407525,42.4153014510601,-83.2317374867673,TRAFFIC STOP
482689,42.3904766617068,-82.9475006584095,BURGLARY OCCUPANT AWAY I/P
114595,42.340145050748895,-83.0783852954268,TRAFFIC STOP
28668,42.438753035863,-83.1471715939504,DISTURBANCE
2399704,42.4150338343678,-83.00662302425779,ASSAULT AND BATTERY IP-JH
1630977,42.337674362716605,-83.05134264296959,TRAFFIC STOP
1876688,42.3832695602151,-83.0747696073791,SPECIAL ATTENTION
924780,42.4432633180534,-83.1614168853157,INVESTIGATE PERSON
905818,42.363595521707204,-83.1776570265665,MALICIOUS DESTRUCTION I/P
1188969,42.37318442930761,-83.17061970142309,INVESTIGATE PERSON
158876,42.3697104835147,-83.0207411449303,TRAFFIC STOP
1090858,42.3547514803589,-83.06299871923221,NOISE COMPLAINT
1623448,42.3653733469084,-83.1972902746387,SPECIAL ATTENTION
361838,42.4027483301151,-82.9389360630803,TOWING DETAIL
957490,42.416497229742,-83.2576476673008,SPECIAL ATTENTION
1436429,42.3868414421987,-83.1839067446899,LARCENY REPORT
1242206,42.438481606111495,-83.16773749748421,SHOTS FIRED IP
157009,42.4097810751212,-83.153644301117,ASSAULT AND BATTERY
1561550,42.3669864709849,-83.0061105021773,SPECIAL ATTENTION
311582,42.3873082737845,-82.9477035141716,UNKNOWN PROBLEM
2347013,42.4065560267415,-83.2181498559133,INVESTIGATE PERSON
312554,42.3699099284181,-83.1446477939748,RUBBISH LITTERING I/P
947298,42.3531904811514,-83.053165988994,RAPE REPORT
953485,42.3003668801043,-83.1115602131719,INVESTIGATE PERSON
2234986,42.4298307824787,-83.2297902709162,UNKNOWN PROBLEM
1199142,42.3292398474171,-83.048071071919,PERSON WITH WEAPON
1724051,42.4409234364458,-83.1613185466078,INVESTIGATE AUTO
613987,42.3400431014541,-83.1973253029527,INVESTIGATE AUTO
1105483,42.340299782578604,-83.017888454464,TRAFFIC STOP
1681871,42.4018900120404,-83.18661002106609,SPECIAL ATTENTION
1554795,42.3829496635917,-83.070648536419,TRAFFIC STOP
1974621,42.3515090655925,-83.0474947705203,SPECIAL ATTENTION
2247768,42.4472667512857,-83.00151352624171,LARCENY REPORT
1588100,42.408408847408104,-83.04832601645,UDAA REPORT
2157591,42.4103137157785,-83.0759134571066,TRAFFIC STOP
1227839,42.3604493250623,-83.2034151885108,DISTURBANCE
539181,42.3333520668992,-83.1488129306986,BURGLARY OCCUPANT AWAY I/P
531153,42.3338476280054,-83.0921428281737,INVESTIGATE AUTO
1270706,42.4395348691409,-83.0244424686952,SPECIAL ATTENTION
134885,42.351708368066795,-83.0799512074685,TRAFFIC STOP
2120352,42.3682915724112,-83.17782111213941,HANGUP CALLS
449588,42.425684597234294,-82.948912054951,INVESTIGATE PERSON
8443,42.331104131767795,-83.1355379363287,AUTO X OR PED X - INJURIES
306407,42.4316108193418,-83.2763637190762,DISTURBANCE
1770741,42.361003530934504,-82.98178771172529,SPECIAL ATTENTION
2421037,42.3400591253736,-83.196146188421,DV A/B I/P-J/H
364849,42.4120020234894,-82.9858374459845,TOWING DETAIL
1994657,42.3531904811514,-83.053165988994,DISTURBANCE
155811,42.4391153967517,-82.9497396768714,BUS BOARDING
1892673,42.4122478412991,-83.20337205322251,HANGUP CALLS
335175,42.406399052591,-83.1354689825526,ONE DOWN OR OVER THE WHEEL
1712456,42.430264714049,-83.21063448031241,TRAFFIC STOP
1199310,42.441141275338204,-83.0244969462723,SPECIAL ATTENTION
1427315,42.3003668801043,-83.1115602131719,SPECIAL ATTENTION
1442191,42.316452955514606,-83.134309144738,TRAFFIC STOP
653498,42.3579551522497,-83.0730436495612,SAFEWALK
1086973,42.4207465660553,-83.2628853546375,MT EMS-TRO/ENTRY
104430,42.416598675300996,-83.1798105729848,DISTURBANCE
1761269,42.408049297370795,-83.23655150058259,ONE DOWN/DRUG OD
2322618,42.414102829232704,-83.2020653927088,HANGUP CALLS
1696445,42.394102121104495,-83.1191378445905,UDAA REPORT
400994,42.4259929953916,-83.1597161526557,WELL BEING CHECK
650548,42.3995374113443,-83.00848855367741,DISTURBANCE
1725787,42.3504630516914,-83.227164577731,TRAFFIC STOP
2208992,42.3839661182788,-83.02573410101449,PERSON WITH WEAPON
126058,42.357581218268706,-83.08845341801471,INVESTIGATE PERSON
74272,42.351748149748104,-83.1563431842864,LARCENY I/P OR J/H
2210893,42.374064346595794,-82.98974595922971,SPECIAL ATTENTION
793436,42.3567931215742,-83.0642910075754,INVESTIGATE AUTO
561274,42.3894439781883,-83.00306276905991,UNKNOWN PROBLEM
732900,42.41772330624671,-83.0236478388631,TRAFFIC STOP
387005,42.4410910775912,-83.1534143933637,TOWING DETAIL
448807,42.3914316836359,-83.0701718405483,BURGLARY OTHER
1387241,42.3579333329878,-83.0284942966945,TRAFFIC STOP
2006378,42.382822817521,-83.08174219078042,NARCOTICS I/P
2146821,42.325640621717,-83.0879046896937,TRAFFIC STOP
1761827,42.3645911184208,-83.08874432886608,INFORMATION/NON-CRIMINAL RPT
2407821,42.4103461746219,-82.9451974382106,HANGUP CALLS
1270994,42.336353461096,-83.0362287825672,TRAFFIC STOP
1613497,42.434867085567,-83.1676355115448,TRAFFIC STOP
1619069,42.334321597500704,-83.0736829715121,SPECIAL ATTENTION
517976,42.3850459918749,-83.2561775230915,ONE DOWN OR OVER THE WHEEL
233665,42.344745205213,-83.11106416653051,BURGLARY OCCUPIED RESD I/P
1745390,42.392664736863296,-83.1983697302007,ONE OVER THE WHEEL
1912821,42.3145125827316,-83.1256685669277,MALICIOUS DESTRUCTION RPT
1954644,42.3492296591277,-83.0423906385528,SPECIAL ATTENTION
1592107,42.3942517638432,-82.9621998348586,SPECIAL ATTENTION
259626,42.351708368066795,-83.0799512074685,SPECIAL ATTENTION
1323790,42.37685327706539,-83.0350686963224,INVESTIGATE PERSON
2043341,42.406032904755705,-83.2408124204138,KIDNAPPING
1838099,42.3891257500105,-83.1304534394601,SPECIAL ATTENTION
976020,42.3846226699711,-83.1784172850282,SPECIAL ATTENTION
1851358,42.3497178725548,-83.05241185183341,HANGUP CALLS
1125349,42.3491711682277,-83.0404030250622,SPECIAL ATTENTION
1494104,42.4253481113264,-83.0825479464813,RAID - EXECUTE SEARCH WARRANT
377324,42.419015691189706,-82.915039661767,FELONIOUS ASSAULT JH
2161218,42.3505853117241,-83.0600213335847,UNKNOWN PROBLEM
2263774,42.3508655934684,-83.1990478226887,HANGUP CALLS
813004,42.4139840961761,-83.0466007264759,RAID - EXECUTE SEARCH WARRANT
1577039,42.3003668801043,-83.1115602131719,TRAFFIC STOP
315842,42.3003668801043,-83.1115602131719,BUS BOARDING
972786,42.3720374983549,-83.2277004010599,SPECIAL ATTENTION
1611024,42.4313551537574,-83.16098885581721,LARCENY I/P OR J/H
1223498,42.371773513907,-83.250567868047,SPECIAL ATTENTION
50411,42.394922867363,-83.1196906577556,ARSON I/P
1242117,42.353378313691394,-83.100929932819,CHILD /  ADULT ABUSE
414535,42.3928099121605,-83.0728074026002,SPECIAL ATTENTION
1196820,42.3519898823287,-83.24427424290499,FELONIOUS ASSAULT IP
1890197,42.4259929953916,-83.1597161526557,FELONIOUS ASSAULT IP
798490,42.3394833516969,-83.0665053158782,INVESTIGATE PERSON
324781,42.432516912886705,-83.1900286012859,BURGLARY OCCUPIED RESD I/P
390261,42.3862873798955,-83.23565256132841,ONE DOWN OR OVER THE WHEEL
2254217,42.37405061220171,-83.2400770768698,VICIOUS ANIMAL
1838796,42.3756263168246,-82.9803450504754,SENIOR CITIZEN ASSIST
49300,42.367265614960104,-83.0223621997521,INVESTIGATE PERSON
983246,42.3228691748625,-83.08923735616891,SPECIAL ATTENTION
2331486,42.3516772560925,-83.060752603117,INVESTIGATE PERSON
258193,42.4291089445414,-82.9572562553324,TRAFFIC STOP
1287992,42.3882772170736,-83.25772932985521,CHILD / ADULT ABUSE REPORT
337911,42.391672180044296,-83.208109495917,UDAA REPORT
93919,42.418501490238704,-83.17020881657871,ASSAULT AND BATTERY
1963090,42.3553291328169,-83.0302024469719,TRAFFIC STOP
1052072,42.3894805094162,-83.04041079803851,INVESTIGATE AUTO
103912,42.365367145128296,-83.1143843052605,FELONIOUS ASSAULT IP
2062180,42.360860567447794,-83.00043212805471,SPECIAL ATTENTION
1486879,42.362822521774795,-83.0031092123496,TRAFFIC STOP
2446570,42.416538017471,-82.929015696582,MISCELLANEOUS TRAFFIC
686159,42.3756263168246,-82.9803450504754,BURGLARY OCCUP RESD REPT
1328996,42.3666953434632,-83.08258431141421,ASSIST PERSONNEL
307889,42.3531904811514,-83.053165988994,RAPE REPORT
